Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
08.09.2023;K232686;CorVista® System;CorVista Health, Inc.;Cardiovascular;QXX;DEN230003
08.09.2023;K231335;Cleerly ISCHEMIA;Cleerly, Inc;Cardiovascular;QXZ;K222463
08.09.2023;K223621;DeepXray;Alpha Intelligence Manifolds, Inc.;Radiology;QIH;K192109 , K203696
08.09.2023;K222921;Minuteful-kidney test;Healthy.io Ltd.;Clinical Chemistry;JIR;K210069
07.09.2023;K231207;CARTO 3 EP Navigation System Software V8.0 (FG-5400-00, FG-5400-00U);Biosense Webster, Inc.;Cardiovascular;DQK;K223733
06.09.2023;K232482;MAGNETOM Viato.Mobile;Siemens Medical Solutions USA, Inc.;Radiology;LNH;K221733
01.09.2023;K223622;FaceHeart Vitals Software Development Kit (FH vitals SDK);FaceHeart Corp.;Cardiovascular;QME;K211906
30.08.2023;K230355;Vantage Galan 3T, MRT-3020, V9.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K222387
28.08.2023;K223639;VisAble.IO;TechsoMed;Radiology;QTZ;K202297
25.08.2023;K223180;AIRAscore;AIRAmed GmbH;Radiology;LLZ;K192130
23.08.2023;K230812;Withings Scan Monitor 2.0;Withings;Cardiovascular;DPS;K201456
22.08.2023;K230899;qXR-PTX-PE;Qure.ai Technologies;Radiology;QFM;K211733
18.08.2023;K223539;Dreem 3S;Beacon Biosignals, Inc.;Neurology;OLZ;K192469
15.08.2023;K231094;Annalise Enterprise CTB Triage-OH;Annalise-AI Pty Ltd;Radiology;QAS;K221314
03.08.2023;K223133;VisiRad XR;Imidex Inc.;Radiology;MYN;K201560
02.08.2023;K223553;Spine Planning (2.0), Elements Spine Planning, Elements Planning Spine;Brainlab AG;Neurology;OLO;K212245
27.07.2023;K230074;Rapid Aneurysm Triage and Notification;iSchemaView Inc.;Radiology;QFM;K213319
27.07.2023;K231195;Brainomix 360 Triage ICH;Brainomix Limited;Radiology;QAS;K193658
26.07.2023;K231038;Global Hypoperfusion Index (GHI) Algorithm;Edwards Lifesciences, LLC;Cardiovascular;QNL;K203687
26.07.2023;K231572;uMI Panorama;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPS;K223325
25.07.2023;K230913;ANDI;Imeka Solutions, Inc.;Radiology;QIH;K203518
25.07.2023;K230365;Sonio Detect;Sonio;Radiology;IYN;K201828
25.07.2023;K223473;"ME-APDS; MAGENTIQ-COLO";Magentiq Eye LTD;Gastroenterology-Urology;QNP;K211951
24.07.2023;K223347;UltraSight AI Guidance;UltraSight Inc.;Radiology;QJU;DEN190040
21.07.2023;K230150;OptimMRI;RebrAIn, SAS;Radiology;QIH;K162830
21.07.2023;K231173;Irregular Rhythm Notification Feature (IRNF);Apple Inc.;Cardiovascular;QDB;K212516
21.07.2023;K223288;Cranial Navigation, Navigation Software Cranial, Navigation Software Craniofacial, Cranial EM System, Automatic Registration iMRI;Brainlab AG;Neurology;HAW;K192703, K162929, K213989
20.07.2023;K230039;uOmnispace;Shanghai United Imaging Healthcare Co., Ltd;Radiology;QIH;K191040
19.07.2023;K231157;syngo.CT Lung CAD (Version VD30);Siemens Healthcare GmbH;Radiology;OEB;K203258
14.07.2023;K231757;Ez3D-i /E3;Ewoosoft Co., Ltd;Radiology;QIH;K222069
14.07.2023;K223106;"Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion  (4.5);Fibertracking (2.0);BOLD MRI Mapping  (1.0);Image Fusion Angio  (1.0)";Brainlab AG;Radiology;QIH;K212420, K113732
13.07.2023;K223426;ECHELON Synergy MRI system;FUJIFILM Healthcare Corporation;Radiology;LNH;K172110
13.07.2023;K223424;Spine Auto Views;GE Medical Systems SCS;Radiology;JAK;K183204
13.07.2023;K231833;Biograph Vision.X and Biograph Vision.X Edge;Siemens Medical Solutions USA, Inc.;Radiology;KPS;K193248
12.07.2023;K230823;AusculThing ACC;AusculThing Oy;Cardiovascular;DQD;K181988
10.07.2023;K223724;MOZI TPS;Manteia Technologies Co., Ltd.;Radiology;MUJ;K172163, K182624
07.07.2023;K231668;Spine CAMP (1.1);Medical Metrics, Inc.;Radiology;QIH;K221632
03.07.2023;K222745;Axial3D Insight;Axial Medical Printing Limited;Radiology;QIH;K221511
29.06.2023;K230337;EarliPoint;EarliTec Diagnostics, Inc;Neurology;QPF;K213882
22.06.2023;K230497;Bladder AI (AIBV01);Exo Inc;Radiology;QIH;K203502
20.06.2023;K231459;HepaFatSmart (V2.0.0);Resonance Health Analysis Services Pty Ltd;Radiology;LNH;K122035, K201039
20.06.2023;K230346;"Voluson SWIFT; Voluson SWIFT+";GE Medical Systems Ultrasound & Primary Care Diagnostic, LLC;Radiology;IYN;K201828
16.06.2023;K223646;IB Lab LAMA;IB Lab GmbH;Radiology;QIH;K192109
16.06.2023;K223556;DeepCatch;MEDICALIP Co., Ltd;Radiology;QIH;K191026, K130542
16.06.2023;K223357;EyeArt v2.2.0;Eyenuk, Inc.;Ophthalmic;PIB;K200667
13.06.2023;K230112;CAC Software;Imbio, Inc.;Radiology;JAK;K210085
