Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
29.09.2025;K252054;SpineAR SNAP (SyncAR Spine);Surgical Theater, Inc.;Neurology;SBF;K243623
29.09.2025;K250023;SMART PCFD;Disior Ltd;Radiology;QIH;K240642
26.09.2025;K252105;Ligence Heart;Ligence, UAB;Radiology;QIH;K210791
25.09.2025;K251527;Brain WMH;Quantib BV;Radiology;QIH;K213737
25.09.2025;K252371;uMR 680;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;LNH;K243397
23.09.2025;K251483;SwiftSight-Brain;AIRS Medical Inc.;Radiology;QIH;K242215
23.09.2025;K251987;Rapid Aortic Measurements;iSchemaView, Inc.;Radiology;QIH;K243350
19.09.2025;K251167;uDR Aurora CX;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPR;K241068
19.09.2025;K251002;Videa Dental AI;VideaHealth Inc.;Radiology;MYN;K232384
19.09.2025;K250649;Bunkerhill ECG-EF;BunkerHill Health;Cardiovascular;QYE;K232699
18.09.2025;K250369;Axial3D Insight;Axial Medical Printing Limited;Radiology;QIH;K232841
17.09.2025;K251386;ECHELON Synergy;Fujifilm Corporation;Radiology;LNH;K241429
17.09.2025;K251221;"Assert-IQ  (DM5000); Assert-IQ (DM5300); Assert-IQ (DM5500); Merlin.net (MN7000)";Abbott;Cardiovascular;MXD;K230286
15.09.2025;K250237;InferOperate Suite;Beijing Infervision Healthcare Medical Technology Co., Ltd.;Radiology;QIH;K212896
12.09.2025;K251368;FETOLY;Diagnoly;Radiology;IYN;K241380
12.09.2025;K251518;Volta AF-Xplorer II;Volta Medical;Cardiovascular;DQK;K243812
12.09.2025;K252586;CADDIE;Odin Medical Limited;Gastroenterology-Urology;QNP;K240044
11.09.2025;K251316;Mazor X System / Mazor X Stealth Edition;Mazor Robotics Ltd.;Neurology;OLO;K230064
11.09.2025;K250507;Hypertension Notification Feature (HTNF);Apple Inc.;Cardiovascular;SFR;DEN230003
11.09.2025;K251399;SIGNA Sprint;GE Medical Systems, LLC;Radiology;LNH;K193282
10.09.2025;K244002;AngioWaveNet;Angiowave Imaging, Inc.;Radiology;QIH;K212074
09.09.2025;K251682;MuscleView 2.0;Springbok, Inc. (dba Springbok Analytics);Radiology;LNH;K241331
09.09.2025;K251072;Segmentron Viewer;DGNCT, LLC;Radiology;QIH;K231757
08.09.2025;K251610;qER-CTA (v1.0);Qure.ai Technologies;Radiology;QAS;K223042
08.09.2025;K251931;BioTraceIO Vision  (V1.7);Techsomed Medical Technologies;Radiology;QTZ;K240773
04.09.2025;K250064;Dose+ (1.0);Mvision AI Oy;Radiology;MUJ;K222803
04.09.2025;K251533;Rapid Obstructive Hydrocephalus, Rapid OH;iSchemaView Inc.;Radiology;QAS;K232436
04.09.2025;K251656;Careverse CoronaryDoc (Careverse CoronaryDoc);Careverse Technology Pte. Ltd.;Radiology;QIH;K202280
03.09.2025;K252539;Tempus Pixel;Arterys, Inc.;Radiology;QIH;K203744
02.09.2025;K251408;OsteoSight Hip (v1);Naitive Technologies Ltd;Radiology;SAO;DEN230023
02.09.2025;K250753;VELMENI for DENTISTS (V4D);Velmeni Inc.;Radiology;MYN;K240003
29.08.2025;K251106;Sonosite LX and Sonosite PX Ultrasound Systems;Fujifilm Sonosite Inc;Radiology;IYN;K233597
29.08.2025;K250003;GENESEEQPRIME NGS Tumor Profiling Assay (FFPE) (GS6005);Geneseeq Technology Inc.;Pathology;PZM;K192063
29.08.2025;K250290;SurgiTwin;Twinsight;Radiology;LLZ;K240926
29.08.2025;K243859;PRAEVAorta®2;Nurea;Radiology;QIH;K232613
28.08.2025;K250788;Definium Tempo Select;GE Hualun Medical Systems Co., Ltd;Radiology;KPR;K191699
27.08.2025;K243687;Vital Signs;Oxehealth Limited;Cardiovascular;QME;K211906
26.08.2025;K251983;Brainomix 360 Triage Stroke;Brainomix Limited;Radiology;QAS;K232496
22.08.2025;K252362;GBrain MRI;Galileo CDS, Inc;Radiology;QIH;K250416
22.08.2025;K243685;MammoScreen BD;Therapixel;Radiology;QIH;K241561
21.08.2025;K251029;Vista OS, Vista AI Scan, RTHawk;Vista AI, Inc.;Radiology;LNH;K212233
20.08.2025;K251481;"ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System";Siemens Medical Solutions USA, Inc.;Radiology;IYN;K242523
20.08.2025;K251590;Methinks CTA Stroke;Methinks Software S.L.;Radiology;QAS;DEN170073
20.08.2025;K251837;Salix Coronary Plaque (V1.0.0);Artrya Limited;Radiology;QIH;K242240,K243038
15.08.2025;K250818;Nerveblox;Smart Alfa Teknoloji San. Ve Tic. A.S.;Anesthesiology;QRG;K232787
15.08.2025;K251747;"VEA Align; spineEOS";EOS imaging;Radiology;QIH;K240582
15.08.2025;K243851;CHLOE BLAST;Fairtility Ltd.;Obstetrics and Gynecology;PBH;DEN120015
12.08.2025;K250755;DS Core Diagnosis;Dentsply Sirona Inc.;Radiology;QIH;K132773
12.08.2025;K251494;Eko Foundation Analysis Software with Transformers (EFAST);Eko Health, Inc.;Cardiovascular;DQD;K213794
11.08.2025;K251873;Saige-Dx;DeepHealth, Inc.;Radiology;QDQ;K243688
07.08.2025;K251629;UNiD Spine Analyzer;Medicrea International S.A.S. (Medtronic);Radiology;QIH;K212005
06.08.2025;K250569;Cardiologs Holter Platform;Philips France Commercial;Cardiovascular;DPS;K212112
05.08.2025;K250246;uMR Jupiter;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;LNH;K233673
01.08.2025;K250941;Revolution Vibe;GE Medical Systems, LLC;Radiology;JAK;K213715
31.07.2025;K243341;Genius AI Detection 2.0;Hologic, Inc.;Radiology;QDQ;K221449
31.07.2025;K250738;YSIO X.pree;Siemens Medical Solutions;Radiology;KPR;K233543
30.07.2025;K243919;Voxel Dosimetry (00859873006226);Hermes Medical Solutions AB;Radiology;QIH;K191216
28.07.2025;K250652;ECG-AI Low Ejection Fraction (LEF) 12-Lead algorithm (1010);Anumana, Inc.;Cardiovascular;QYE;K232699
25.07.2025;K251322;"Venue; Venue Go; Venue Fit; Venue Sprint";GE Medical Systems Ultrasound and Primary care Diagnostics,;Radiology;IYN;K240111,K240053,K234106,K240206
24.07.2025;K251455;"EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System";Philips Ultrasound LLC;Radiology;IYN;K240850
23.07.2025;K243681;Neuro Insight V1.0;Olea Medical S.A.S.;Radiology;LLZ;K152602
22.07.2025;K250686;GyriCalc (Version 1.0.0);NeuroSpectrum Insights Corp.;Radiology;LLZ;K170981
22.07.2025;K250901;Vantage Fortian/Orian 1.5T, MRT-1550, V10.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K240238
18.07.2025;K250902;HeartFlow Analysis;HeartFlow, Inc.;Cardiovascular;PJA;K213857
18.07.2025;K250999;"V8 Diagnostic Ultrasound System; cV8 Diagnostic Ultrasound System; V7 Diagnostic Ultrasound System; cV7 Diagnostic Ultrasound System; V6 Diagnostic Ultrasound System; cV6 Diagnostic Ultrasound System; V5 Diagnostic Ultrasound System; cV5 Diagnostic Ultrasound System; V4 Diagnostic Ultrasound System; cV4 Diagnostic Ultrasound System";Samsung Medison Co., Ltd.;Radiology;IYN;K243702
17.07.2025;K243547;uMR Ultra;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;LNH;K243122
17.07.2025;K251839;"uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panvivo S)";Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPS;K243538
16.07.2025;K251342;EchoPAC Software Only / EchoPAC Plug-in;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;QIH;K220940
16.07.2025;K251151;Rapid CTA 360;iSchemaView;Radiology;QAS;K200941,K243350
16.07.2025;K243397;uMR 680;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;LNH;K240744
15.07.2025;K250119;Tempus ECG-Low EF;Tempus AI, Inc.;Cardiovascular;QYE;K232699
14.07.2025;K250660;"LUMINOS Q.namix T; LUMINOS Q.namix R";Siemens Medical Solutions;Radiology;OWB;K173639
14.07.2025;K251096;PeekMed web;Peek Health, S.A.;Radiology;QIH;K250042
10.07.2025;K251169;Vivid Pioneer;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K220882
08.07.2025;K251766;TumorSight Viz;SimBioSys, Inc.;Radiology;QIH;K243189
07.07.2025;K243884;TAVIPILOT;Caranx Medical;Radiology;OWB;K140138
03.07.2025;K243679;MammoScreen® (4);Therapixel;Radiology;QDQ;K240301
03.07.2025;K251528;"syngo.via MI Workflows; Scenium; syngo MBF";Siemens Medical Solutions USA, Inc.;Radiology;QIH;K242275, K232000
01.07.2025;K243779;Bunkerhill Abdominal Aortic Quantification (AAQ);BunkerHill Health;Radiology;QIH;K230534
01.07.2025;K250221;StrokeSENS ASPECTS Software Application;Circle Cardiovascular Imaging Inc.;Radiology;POK;K221564
01.07.2025;K250096;Felix NeuroAI  System;Fasikl Incorporated;Neurology;QBC;K203288
30.06.2025;K250484;PIUR tUS inside;PIUR Imaging GmbH;Radiology;QIH;K240036
30.06.2025;K250670;EchoConfidence (USA);Mycardium AI Limited;Radiology;QIH;K210791, K191171
30.06.2025;K243647;Synapse PACS (7.5);FUJIFILM Healthcare Americas Corporation;Radiology;QIH;K190232, K221677
27.06.2025;K243144;X100/X100HT with Full Field Peripheral Blood Smear (PBS) Application;Scopio Labs Ltd.;Hematology;JOY;K201301, K220013
27.06.2025;K250984;Maestro System (REF100);Moon Surgical;Gastroenterology-Urology;QZB;K242323
24.06.2025;K250268;HyperSnap Surgical System (HSS);Hypervision Surgical;Gastroenterology-Urology;SFE;K203717
20.06.2025;K250151;Us2.ca;Eko.ai Pte. Ltd. d/b/a Us2.ai;Cardiovascular;SDJ;K240860
20.06.2025;K250877;TMINI Miniature Robotic System;THINK Surgical, Inc.;Neurology;OLO;K243481
19.06.2025;K250515;EpiMonitor;Empatica  Srl;Neurology;POS;K232915
18.06.2025;K243253;"6600 Ultrasound System (MyLabA50); 6600 Ultrasound System (MyLabA70)";Esaote S.p.A.;Radiology;IYN;K230179
18.06.2025;K250886;"EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems";Philips Ultrasound LLC;Radiology;IYN;K240850
18.06.2025;K243672;CardIQ Suite;GE Medical Systems SCS;Radiology;JAK;K233731
17.06.2025;K250440;"RT Elements  (4.5); (Elements) Multiple Brain Mets SRS; (Elements) Cranial SRS; (Elements) Spine SRS; (Elements) Cranial SRS w/ Cones; (Elements) RT Planning Platform; (Elements) Dose Review; (Elements) Retreatment Review; Elements Segmentation [Cranial , Basal Ganglia, Head & Neck, Pelvic, Spine, Thoracic & Spine, Extracranial] RT; Elements AI Tumor Segmentation RT; Elements SmartBrush [Angio, Spine] RT; Elements Object Management RT";Brainlab AG;Radiology;MUJ;K223279
16.06.2025;K250436;"MAGNETOM Flow.Ace; MAGNETOM Flow.Plus";Siemens Shenzhen Magnetic Resonance Ltd.;Radiology;LNH;K232535
16.06.2025;K250443;"MAGNETOM Avanto Fit; MAGNETOM Skyra Fit; MAGNETOM Sola Fit; MAGNETOM Viato.Mobile";Siemens Healthcare GmbH;Radiology;LNH;K220151
16.06.2025;K250685;Methinks NCCT Stroke;Methinks Software S.L.;Radiology;QAS;K222884
15.06.2025;K240795;Withings ECG App;Withings;Cardiovascular;QDA;K201525
13.06.2025;K243633;"Brainlab Elements (7.0); Brainlab Elements Image Fusion (5.0); Brainlab Elements Image Fusion Angio (1.0); Brainlab Elements Contouring (5.0); Brainlab Elements Fibertracking (3.0); Brainlab Elements BOLD MRI Mapping (1.0)";Brainlab AG;Radiology;QIH;K223106
12.06.2025;K243234;Second Opinion® CS;Pearl Inc.;Radiology;MYN;K210365
12.06.2025;K251153;Aurora;GE Medical Systems Israel;Radiology;KPS;K243605
10.06.2025;K250354;Viz Subdural+, Viz SUBDURAL PLUS;Viz.ai, Inc.;Radiology;QIH;K232363
06.06.2025;K242737;"Empatica Health Monitoring Platform; EmbracePlus; Empatica Care; Care Portal";Empatica S.r.l.;Cardiovascular;MWI;K230457
06.06.2025;K251009;Cirrus Resting State fMRI Software;Sora Neuroscience, Inc.;Radiology;QIH;K222359
05.06.2025;K243667;Sonic DL;GE Medical Systems, LLC;Radiology;LNH;K223523
05.06.2025;K251456;BrightHeart View Classifier;BrightHeart;Radiology;QIH;K243684
04.06.2025;K250749;PhysCade System;PhysCade, Inc.;Cardiovascular;DQK;K201298
04.06.2025;K243810;TraumaCad Neo (1.1);Brainlab Ltd.;Radiology;QIH;K231498, K222767
04.06.2025;K251397;Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, BlueSeal, MR 5300 and MR 7700 MR System;Philips Medical Systems Nederland B.V.;Radiology;LNH;K223458
30.05.2025;K243005;AudaxCeph Cephalogram Analysis Software;Audax d.o.o.;Radiology;QIH;K231396
30.05.2025;K242830;"LensHooke X3 PRO Semen Quality Analyzer; LensHooke X3 PRO SE Semen Quality Analyzer";Bonraybio Co., LTD.;Hematology;POV;K202089
30.05.2025;K250236;Swoop® Portable MR Imaging® System (V2);Hyperfine, Inc.;Radiology;LNH;K240944
30.05.2025;K243863;Opulus Lymphoma Precision;Roche Molecular Systems, Inc.;Radiology;QIH;K221738
30.05.2025;K251406;BriefCase-Triage;Aidoc Medical, Ltd.;Radiology;QAS;K222329
29.05.2025;K250543;"Voluson Performance 16; Voluson Performance 18";GE Medical Systems Ultrasound and Primary care Diagnostics;Radiology;IYN;K230346
28.05.2025;K243378;Rapid MLS;iSchemaview Inc.;Radiology;QIH;K223396
28.05.2025;K250427;TAIMedImg DeepMets;Taiwan Medical Imaging Co., Ltd.;Radiology;QKB;K203235
28.05.2025;K250367;CoLumboX;Smart Soft Healthcare AD;Radiology;QIH;K241211
27.05.2025;K250932;DeepRhythmAI;Medicalgorithmics S.A.;Cardiovascular;DQK;K241197
23.05.2025;K250005;Clever One;Ewoosoft Co., Ltd;Radiology;QIH;K241114, K231757
23.05.2025;K243989;Second Opinion® 3D;Pearl, Inc.;Radiology;QIH;K233925
23.05.2025;K243937;Accuro 3S;Rivanna Medical, Inc.;Radiology;IYO;K171594
23.05.2025;K242594;DEEPECHO;DeepEcho;Radiology;IYN;K230365
21.05.2025;K243793;"EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System";Philips Ultrasound LLC;Radiology;IYN;K240850
21.05.2025;K243122;uMR Omega;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;LNH;K240540, K230152, K220332
21.05.2025;K243762;Synapse 3D Base Tools (V7.0);FUJIFILM Corporation;Radiology;QIH;K221677
21.05.2025;K251276;Swoop® Portable MR Imaging® System;Hyperfine, Inc.;Radiology;LNH;K240944
21.05.2025;K243866;InVision Precision Cardiac Amyloid;InVision Medical Technology Corporation;Cardiovascular;SDJ;K240860
20.05.2025;K250370;SCENARIA View Phase 5.0;FUJIFILM Corporation;Radiology;JAK;K231574
16.05.2025;K243617;"uCT ATLAS Astound with uWS-CT-Dual Energy Analysis; uCT ATLAS with uWS-CT-Dual Energy Analysis";Shanghai United Imaging Healthcare Co.,Ltd.;Radiology;JAK;K231482, K231482
16.05.2025;K241671;"6450 Ultrasound System (MyLabE80); 6450 Ultrasound System (MyLabE85)";Esaote S.p.A.;Radiology;IYN;K192157, K230179
16.05.2025;K240554;InferRead Lung CT.AI;Infervision Medical Technology Co., Ltd.;Radiology;OEB;K192880, K162484
16.05.2025;K250086;OTS Hip;Ortoma AB;Neurology;OLO;K232140
14.05.2025;K242624;Medical Image Post-processing Software (uOmnispace.CT);Shanghai United Imaging Healthcare Co., Ltd.;Radiology;QIH;K233209
14.05.2025;K242437;Smile Dx®;Cube Click, Inc.;Radiology;MYN;K212519, K210365, K210187
09.05.2025;K243812;Volta AF-Xplorer;Volta Medical;Cardiovascular;DQK;K232616
09.05.2025;K243230;Second Opinion® BLE;Pearl Inc.;Radiology;QIH;K210187
09.05.2025;K242388;LensHooke X12 PRO Semen Analysis System;Bonraybio Co., LTD.;Hematology;POV;K202089
09.05.2025;K251110;"EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems";Philips Ultrasound LLC;Radiology;IYN;K240850, K240850
09.05.2025;K251126;SKOUT system;Iterative Health;Gastroenterology-Urology;QNP;K240781
08.05.2025;K250226;Clarius Median Nerve AI;Clarius Mobile Health Corp.;Radiology;QIH;K222406
07.05.2025;K243684;BrightHeart View Classifier;BrightHeart;Radiology;QIH;K230209
05.05.2025;K243893;Second Opinion® Pediatric;Pearl, Inc.;Radiology;MYN;K210365
02.05.2025;K251071;Fetal EchoScan (v1.1);BrightHeart;Radiology;POK;K242342
02.05.2025;K242583;AT-Patch (ATP-C130/ATP-C70);ATsens Co.,Ltd.;Cardiovascular;DSH;K203638, K162023
01.05.2025;K250087;Vscan Air;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K231301
30.04.2025;K250328;UltraExtend NX CUW-U001S V2.0 Ultrasound Image Analysis Program;Canon Medical Systems Corporation;Radiology;QIH;K121076,K223017
28.04.2025;K243376;uAngio AVIVA CX;Shanghai United Imaging Healthcare Co.,Ltd.;Radiology;OWB;K200917
24.04.2025;K243239;Lung AI (LAI001);Exo Inc;Radiology;MYN;K230085
23.04.2025;K250831;Annalise Enterprise;Annalise-AI;Radiology;QFM;K222179
21.04.2025;K243651;VersaViewer;GE Medical Systems SCS;Radiology;LLZ;K041521
17.04.2025;K243878;CLARUS (700);Carl Zeiss Meditec, Inc.;Ophthalmic;QER;K191194
17.04.2025;K242129;VitalRhythm;VitalConnect, Inc.;Cardiovascular;DQK;K241197
16.04.2025;K243853;Clarius Prostate AI;Clarius Mobile Health Corp.;Radiology;QIH;K232257
16.04.2025;K242500;LARALAB;LARALAB GmbH;Radiology;QIH;K153736
15.04.2025;K250650;SpotLight / SpotLight Duo with Low Dose Lung Cancer Screening Option;Arineta Ltd.;Radiology;JAK;K241200
11.04.2025;K243558;Canvas Dx;Cognoa, Inc.;Neurology;QPF;DEN200069
11.04.2025;K242748;Oncospace;Oncospace, Inc.;Radiology;MUJ;K222803
11.04.2025;K242600;Second Opinion Periapical Radiolucency Contours;Pearl Inc.;Radiology;MYN;K210365,K231678
11.04.2025;K250416;GBrain MRI;Galileo CDS, Inc;Radiology;QIH;K210831,K232231
10.04.2025;K250754;cmAngio® (V1.6);CureMetrix, Inc.;Radiology;QIH;K250754
10.04.2025;K250177;"EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System";Philips Ultrasound LLC;Radiology;IYN;K242020
10.04.2025;K243145;syngo.CT LVO Detection;Siemens Medical Solutions USA, Inc.;Radiology;QAS;K232431
09.04.2025;K243743;autoSCORE (V 2.0.0);Holberg EEG AS;Neurology;OMB;K171720, K231068
08.04.2025;K242295;BunkerHill BMD;BunkerHill Health;Radiology;KGI;K213760
07.04.2025;K243567;Tyto Insights for Rhonchi Detection;Tyto Care Ltd.;Anesthesiology;PHZ;K240555
04.04.2025;K241982;DeepFoqus (DeepFoqus-Accelerate);Foqus Technologies Inc.;Radiology;QIH;K210999
04.04.2025;K242807;HeartFocus (V.1.1.1);Deski;Radiology;QJU;DEN190040
04.04.2025;K240398;RayStation 2023B, RayPlan 2023B, RayStation 2024A, RayPlan 2024A, RayStation 2024A SP3, RayPlan 2024A SP3;RaySearch Laboratories AB (publ);Radiology;MUJ;K222312
04.04.2025;K243769;QFR (3.0);QFR Solutions bv;Radiology;QHA;K182611
03.04.2025;K242551;syngo Dynamics (Version VA41D);Siemens Healthcare GmbH;Radiology;QIH;K222428
02.04.2025;K241984;Hi-D Imaging 4TAVR;Hi-D Imaging AG;Radiology;QIH;K153736
01.04.2025;K242925;MR Contour DL;GE HealthCare;Radiology;QKB;K230082
31.03.2025;K242166;TribusConnect;TribusMed Beheer BV;Radiology;QIH;K141061,K222593
27.03.2025;K242745;AI-Rad Companion Organs RT;Siemens Healthcare GmbH;Radiology;QKB;K232899
27.03.2025;K243038;Salix Central;Artrya Limited;Radiology;QIH;K213998
27.03.2025;K242919;V5med Lung AI;V5med Inc.;Radiology;OEB;K221592,K161201
26.03.2025;K243891;EarliPoint System;EarliTec Diagnostics;Neurology;QPF;K230337
26.03.2025;K243831;Rayvolve LN;AZmed;Radiology;MYN;K201560
21.03.2025;K243808;Rayvolve PTX-PE;AZmed;Radiology;QFM;K211733
21.03.2025;K250186;GoLIF! Lumbar Interbody Fusion System;GetSet Surgical, SA;Orthopedic;MAX;K151472
20.03.2025;K243292;brAIn Shoulder Positioning;Avatar Medical;Radiology;LLZ;K213922
20.03.2025;K241961;Vent Creativity Knee v1.0 (Hermes);Vent Creativity;Radiology;QIH;K203195
19.03.2025;K250042;PeekMed web;Peek Health, S.A.;Radiology;QIH;K240926
19.03.2025;K243689;AVIEW;Coreline Soft Co., Ltd.;Radiology;QIH;K214036
18.03.2025;K242683;QP-Prostate® CAD;Quibim S.L.;Radiology;QDQ;K212783
17.03.2025;K250379;SIGNA Prime Elite;GE Medical Systems, LLC;Radiology;LNH;K223439
17.03.2025;K243862;LVivo Software Application;DiA Imaging Analysis Ltd.;Radiology;QIH;K240553
14.03.2025;K241960;DeepRESP;Nox Medical ehf;Neurology;OLZ;K192469,K202142
14.03.2025;K242323;Maestro System (REF100);Moon Surgical;Gastroenterology-Urology;QZB;K240598,K152848
13.03.2025;K250255;xvision Spine system;Augmedics Ltd.;Neurology;SBF;K241481
11.03.2025;K241725;Better Diagnostics Caries Assist (BDCA) Version 1.0;Better Diagnostics AI Corp;Radiology;MYN;K222746
07.03.2025;K242338;Cleerly LABS (v2.0);Cleerly, Inc.;Radiology;QIH;K202280
06.03.2025;K243331;LVivo Seamless;DiA Imaging Analysis Ltd.;Radiology;QIH;K212466
05.03.2025;K241770;Prostate MR AI (VA10A);Siemens Healthcare GmbH;Radiology;QDQ;K181704
04.03.2025;K243933;Ceevra Reveal 3+;Ceevra, Inc.;Radiology;QIH;K233568
03.03.2025;K243611;JLK-SDH;JLK, Inc.;Radiology;QAS;K220439
03.03.2025;K243235;LVivo Software Application;DiA Imaging Analysis Ltd.;Radiology;QIH;K240553
28.02.2025;K242798;Airmod;Heroic Faith International Ltd.;Anesthesiology;BZQ;K111933,K120984
28.02.2025;K241922;Myomics;Phantomics Inc.;Radiology;QIH;K211432,K213998
27.02.2025;K241620;ChestView US;Gleamer SAS;Radiology;MYN;K213353
26.02.2025;K241222;Ventripoint Medical System Plus (VMS+) 4.0;Ventripoint Diagnostics Ltd.;Radiology;QIH;K191493
26.02.2025;K241546;aiCockpit AI Viewer;Fovia, Inc.;Radiology;LLZ;K222476
25.02.2025;K243446;3DXR;GE Medical Systems SCS;Radiology;OWB;K181403
25.02.2025;K242967;Loss of Pulse Detection;Fitbit;Cardiovascular;SDY;K212372
25.02.2025;K242822;ART-Plan+ (v.3.0.0);Therapanacea SAS;Radiology;MUJ;K222728
24.02.2025;K242994;OncoStudio (OS-01);OncoSoft. Co., Ltd.;Radiology;QKB;K230685
21.02.2025;K243614;Sonio Suspect;Sonio;Radiology;POK;K212616
21.02.2025;K242838;QuickRad;Aikenist Technologies Pvt Ltd;Radiology;LLZ;K222781
21.02.2025;K242607;ScanDiags Ortho L-Spine MR-Q;ScanDiags AG;Radiology;QIH;K220497
20.02.2025;K242821;EFAI Chestsuite XR Malpositioned ETT Assessment System (ETT-XR-100);Ever Fortune.AI, Co., Ltd.;Radiology;QAS;K221330
20.02.2025;K242240;CaRi-Plaque;Caristo Diagnostics Ltd.;Radiology;LLZ;K212758
20.02.2025;K242447;Falcon HST;Compumedics Limited;Neurology;OLV;K172986,K101830
14.02.2025;K250248;BriefCase-Triage;Aidoc Medical, Ltd.;Radiology;QAS;K213886
14.02.2025;K243294;Brainomix 360 e-ASPECTS;Brainomix Limited;Radiology;POK;K221564
14.02.2025;K243696;AVIEW CAC;Coreline Soft Co., Ltd.;Radiology;QIH;K233211
12.02.2025;K243523;"NAEOTOM Alpha.Peak/ NAEOTOM Alpha; NAEOTOM Alpha.Pro; NAEOTOM Alpha.Prime";Siemens Medical Solutions USA, Inc.;Radiology;JAK;K233657
12.02.2025;K243702;"V8 Diagnostic Ultrasound System; cV8 Diagnostic Ultrasound System; V7 Diagnostic Ultrasound System; cV7 Diagnostic Ultrasound System; V6 Diagnostic Ultrasound System; cV6 Diagnostic Ultrasound System";Samsung Medison Co., Ltd.;Radiology;IYN;K240631, K240516
12.02.2025;K243250;SubtleHD (1.x);Subtle Medical, Inc.;Radiology;QIH;K230854, K223623
11.02.2025;K243620;Vivid iq;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K221148, K232186, K220619, K211524
11.02.2025;K243628;Vivid T9/Vivid T8;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K221147, K220619, K211524
10.02.2025;K241659;Ultrasound Workspace (UWS 6.0);Philips Ultrasound LLC;Radiology;QIH;K213544, K240850, K202216
06.02.2025;K243794;"EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System";Philips Ultrasound LLC;Radiology;IYN;K240850
05.02.2025;K241593;BoneMetrics (US);Gleamer SAS;Radiology;QIH;K223646
03.02.2025;K243268;TipTraQ (TTQ001);PranaQ Pte. Ltd.;Anesthesiology;MNR;K220028, K222579, K231355
03.02.2025;K250035;Contour ProtégéAI+;MIM Software Inc.;Radiology;QKB;K231765
30.01.2025;K241292;MyShoulder Planner (5.3SSWPL);Medacta International S.A.;Orthopedic;KWS;K203315
29.01.2025;K243042;Co-Ablation System with Sterile Co-Ablation Probe;Hygea Medical Technology Co., Ltd.;General and Plastic Surgery;GEH;k201588, K240892, K230271
28.01.2025;K244027;SANSA HSAT;Huxley Medical;Anesthesiology;MNR;K240285
27.01.2025;K243229;Bunkerhill AVC;BunkerHill Health;Radiology;JAK;K230223
24.01.2025;K243657;ClearPoint System (Software Version 3.0);ClearPoint Neuro, Inc.;Neurology;HAW;K233243, K222519
24.01.2025;K241232;Galen Second Read;Ibex Medical Analytics Ltd.;Pathology;QPN;DEN200080
24.01.2025;K244023;MAGENTIQ-COLO (ME-APDS);Magentiq Eye LTD;Gastroenterology-Urology;QNP;K223473
23.01.2025;K243158;TeraRecon Aorta.CT (1.1.0);TeraRecon, Inc.;Radiology;QIH;K220039
22.01.2025;K243350;Rapid Neuro3D;iSchemaView, Inc.;Radiology;QIH;K233582
21.01.2025;K243955;Precision AI Surgical Planning System (PAI-SPS);Precision AI Pty Ltd;Orthopedic;QHE;K233992
17.01.2025;K241949;Digital Color Doppler Ultrasound System (P60 Series);Sonoscape Medical Corp.;Radiology;IYN;K171000, K222596, K221140
17.01.2025;K242171;TechCare Trauma;Milvue;Radiology;QBS;K222176
17.01.2025;K242825;Prenuvo Body Composition;Prenuvo;Radiology;LNH;/
16.01.2025;K242522;Second Opinion CC;Pearl Inc.;Radiology;MYN;K210365, K222746
15.01.2025;K243065;Cardiac Guidance;Caption Health, Inc.;Radiology;QJU;/
14.01.2025;K241166;uCT 550;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;JAK;K200016
13.01.2025;K243950;ARVIS® Shoulder;Kico Knee Innovation Company Pty Ltd;Neurology;SBF;K240062
13.01.2025;K241200;SpotLight/SpotLight Duo with Low Dose Lung Cancer Screening Option;Arineta Ltd.;Radiology;JAK;K230370
10.01.2025;K241676;TriVerity;Inflammatix, Inc.;Microbiology;PRE;K203748
